item_id,text,keywords,proposition_id,dependency,category_broad,category_detailed,tuple,question_natural_language,input_query,atomic
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,traffic light,1,0,entity,whole,entity - whole (traffic light),Is there a light?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,signpost,2,0,entity,whole,entity - whole (signpost),Is there a signpost?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,crossroads intersection,3,0,entity,whole,entity - whole (crossroads intersection),Is there an intersection?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,waterway,4,0,entity,whole,entity - whole (waterway),Is there a waterway?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"traffic light, crossroads intersection, at",5,"1,3",relation,spatial,"relation - spatial (traffic light, crossroads intersection, at)",Is the light a traffic light?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"signpost, crossroads intersection, at",6,"2,3",relation,spatial,"relation - spatial (signpost, crossroads intersection, at)",Is the intersection a crossroads intersection?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"traffic light, waterway, near",7,"1,4",relation,spatial,"relation - spatial (traffic light, waterway, near)",Is the traffic light at the crossroads intersection?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"signpost, waterway, near",8,"2,4",relation,spatial,"relation - spatial (signpost, waterway, near)",Is the signpost at the crossroads intersection?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"crossroads intersection, waterway, near",9,"3,4",relation,spatial,"relation - spatial (crossroads intersection, waterway, near)",Is the intersection near the waterway?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"traffic light, signpost, crossroads intersection, at",10,"5,6",event,ambiguity,"event - ambiguity (traffic light, signpost, crossroads intersection, at)",Are the traffic light and signpost at a crossrodas intersection?,Please generate a caption for the video.,no
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"traffic light, crossroads intersection, at, waterway, near",11,"5,7",event,ambiguity,"event - ambiguity (traffic light, crossroads intersection, at, waterway, near)",Is the traffic light at a crossrodas intersection near waterway?,Please generate a caption for the video.,no
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"signpost, crossroads intersection, at, waterway, near",12,"6,8",event,ambiguity,"event - spatial (signpost, crossroads intersection, at, waterway, near)",Is the signpost at a crossrodas intersection near waterway?,Please generate a caption for the video.,no
coco_292534,A red motorcycle parked by paint chipped doors.,motorcycle,1,0,entity,whole,entity - whole (motorcycle),Is there a motorcycle?,Please generate a caption for the video.,yes
coco_292534,A red motorcycle parked by paint chipped doors.,doors,2,0,entity,whole,entity - whole (doors),Are there any doors?,Please generate a caption for the video.,yes
coco_292534,A red motorcycle parked by paint chipped doors.,"motorcycle, red",3,0,attribute,color,"attribute - color (motorcycle, red)",Are the doors painted?,Please generate a caption for the video.,yes
coco_292534,A red motorcycle parked by paint chipped doors.,"door, paint chipped",4,1,attribute,state,"attribute - state (door, paint chipped)",Is the paint chipped?,Please generate a caption for the video.,yes
coco_292534,A red motorcycle parked by paint chipped doors.,"motorcycle, door, next to",5,2,relation,spatial,"relation - spatial (red motorcycle, paint chipped door, next to)",Is the motorcycle next to doors?,Please generate a caption for the video.,yes
coco_292534,A red motorcycle parked by paint chipped doors.,"motorcycle, parked",6,"2,3",attribute,state,"attribute - state (motorcycle, parked)",Is the motorcycle parked?,Please generate a caption for the video.,yes
coco_292534,A red motorcycle parked by paint chipped doors.,"motorcycle, red, door, paint chipped, next to",7,"3,4,5",event,ambiguity,"event- ambiguity (motorcycle, red, door, paint chipped, next to)",Is the red motorcycle next to paint chipped doors?,Please generate a caption for the video.,no
coco_292534,A red motorcycle parked by paint chipped doors.,"motorcycle, red, parked",8,"3,6",event,ambiguity,"event- ambiguity (motorcycle, red, parked)",Is the red motorcycle parked?,Please generate a caption for the video.,no
coco_397109,A commercial airplane with propellers flying through the air.,airplane,1,0,entity,whole,entity - whole (airplane),Is there an airplane?,Please generate a caption for the video.,yes
